idUser,SalesYear,SalesMonth,Price,간편식사_도시락,간편식사_샌드위치,간편식사_주먹밥,과자류_껌/초,과자류_빵/디,과자류_스낵,식품_가공식,식품_식재료,식품_안주류,아이스크_아이스,음료_아이스,음료_유제품,음료_음료,즉석조리_베이커,즉석조리_즉석커,즉석조리_튀김류,VisitCount,Gender_남성,Gender_여성,AgeGroup_10대,AgeGroup_20대,AgeGroup_30대,AgeGroup_40대,AgeGroup_50대,AgeGroup_60대이상,TempAvg,RainfallAmount,HumidAvg
U100279,2022,8,251550,2,2,2,8,10,12,13,13,7,7,3,0,16,0,0,0,36,1,0,0,0,1,0,0,0,25.741935483870968,18.219354838709677,80.17096774193548
U100279,2022,9,334650,2,2,1,8,11,8,23,7,8,0,1,3,15,0,0,1,40,1,0,0,0,1,0,0,0,22.353333333333335,6.716666666666667,68.09
U100279,2022,10,256100,1,3,4,6,12,10,19,16,4,9,1,3,17,1,0,2,43,1,0,0,0,1,0,0,0,14.564516129032258,4.003225806451613,68.88709677419355
U100279,2022,11,237550,3,1,3,5,8,9,11,9,4,5,2,2,10,0,1,0,33,1,0,0,0,1,0,0,0,10.03,2.816666666666667,64.39
U100279,2022,12,231950,3,2,1,2,1,4,15,12,4,7,0,2,4,1,0,0,26,1,0,0,0,1,0,0,0,-2.8161290322580643,0.43870967741935485,58.91935483870968
U100280,2022,1,19420,0,0,1,0,1,1,3,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,-2.196774193548387,0.1774193548387097,55.21290322580645
U100280,2022,2,28800,0,0,0,0,3,0,1,1,2,0,0,0,2,0,0,0,3,1,0,0,0,0,1,0,0,-1.125,0.16785714285714287,54.69642857142857
U100280,2022,3,16700,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,7.65483870967742,3.3096774193548386,61.93225806451613
U100280,2022,4,6400,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,14.753333333333332,0.6799999999999999,55.03
U100280,2022,5,17600,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,19.12258064516129,0.24193548387096775,55.335483870967735
U100280,2022,6,23800,0,0,1,0,1,2,1,1,1,0,0,1,1,0,0,0,4,1,0,0,0,0,1,0,0,23.303333333333335,13.126666666666667,73.37666666666668
U100280,2022,7,51800,1,0,0,2,2,0,1,1,0,0,0,0,2,0,1,0,3,1,0,0,0,0,1,0,0,27.32903225806452,8.138709677419355,77.23225806451612
U100280,2022,8,17200,0,0,0,2,0,1,0,2,0,0,0,1,2,0,0,0,4,1,0,0,0,0,1,0,0,25.741935483870968,18.219354838709677,80.17096774193548
U100280,2022,9,24700,0,2,0,1,0,0,1,1,1,1,0,1,2,0,0,0,3,1,0,0,0,0,1,0,0,22.353333333333335,6.716666666666667,68.09
U100280,2022,10,33900,1,2,0,2,3,2,1,1,1,2,0,0,1,0,0,0,5,1,0,0,0,0,1,0,0,14.564516129032258,4.003225806451613,68.88709677419355
U100280,2022,11,11300,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,10.03,2.816666666666667,64.39
U100280,2022,12,16200,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,3,1,0,0,0,0,1,0,0,-2.8161290322580643,0.43870967741935485,58.91935483870968
U100281,2021,1,49350,1,0,1,3,3,0,4,2,3,1,0,0,2,0,0,0,9,0,1,0,0,0,1,0,0,-2.370967741935484,0.6096774193548387,57.45161290322581
U100281,2021,2,24900,1,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,1,0,0,2.732142857142857,0.25357142857142856,55.43928571428571
U100281,2021,3,97250,0,1,0,2,1,3,7,4,4,0,1,0,3,1,0,1,13,0,1,0,0,0,1,0,0,9.016129032258064,3.57741935483871,62.84516129032258
U100281,2021,4,86150,0,0,1,2,1,3,5,3,3,4,0,0,6,0,0,0,14,0,1,0,0,0,1,0,0,14.196666666666665,4.136666666666667,54.21
U100281,2021,5,115700,0,2,0,2,2,4,7,5,3,5,0,3,5,0,0,2,18,0,1,0,0,0,1,0,0,17.067741935483873,5.9064516129032265,68.14838709677419
U100281,2021,6,154800,0,2,1,8,2,5,12,4,1,4,0,1,12,0,0,0,20,0,1,0,0,0,1,0,0,22.816666666666666,3.4866666666666664,72.49666666666667
U100281,2021,7,98750,2,1,0,4,3,2,5,7,5,1,0,1,4,0,0,1,13,0,1,0,0,0,1,0,0,28.11935483870968,5.429032258064517,70.90967741935484
U100281,2021,8,109250,1,3,0,1,3,2,7,3,4,1,0,1,4,0,0,0,15,0,1,0,0,0,1,0,0,25.858064516129033,6.812903225806451,74.2258064516129
U100281,2021,9,123380,1,1,1,7,2,4,5,4,3,3,1,1,7,0,0,0,18,0,1,0,0,0,1,0,0,22.596666666666668,4.366666666666666,70.88333333333334
U100281,2021,10,185800,3,1,1,2,8,4,6,13,0,5,0,1,7,1,0,0,21,0,1,0,0,0,1,0,0,15.574193548387097,1.8387096774193548,69.72258064516129
U100281,2021,11,112200,2,1,0,3,6,0,3,4,2,4,1,1,5,0,0,1,16,0,1,0,0,0,1,0,0,8.18,2.08,67.84666666666666
